ALPHA,GAMMA,EPS_DECAY,EPISODIOS,Q-LEARN WIN%,RANDOM WIN%,CASINO WIN%
0.1,0.9,0.9995,1000000,48.48,30.92,47.62
0.1,0.9,0.9999,5000000,48.71,30.96,47.62
0.2,0.9,0.9995,1000000,48.37,31.67,47.62
0.05,0.9,0.9995,1000000,48.45,31.41,47.62
0.1,0.99,0.9995,1000000,48.47,31.66,47.62
0.1,0.8,0.9995,1000000,46.23,31.26,47.62
0.3,0.9,0.9997,2000000,45.84,31.41,47.62
0.01,0.9,0.9999,5000000,47.09,30.88,47.62
0.1,0.9,0.99999,5000000,46.36,31.02,47.62
0.1,0.9,0.999,500000,45.96,31.90,47.62
0.5,0.9,0.999,200000,45.79,31.61,47.62
0.2,0.99,0.9997,2000000,45.95,31.51,47.62
0.1,0.5,0.9995,1000000,46.55,30.97,47.62
0.05,0.95,0.99999,3000000,47.28,31.63,47.62
